                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1084,                 1.3173,                 1.2694,                0.66253,                0.53532,                0.58392,                0.42779,                 1.0018,                 1.0426,                 1.1727,              0.0093268,              0.0093268,              0.0093268
                     70,                  1.112,                 1.3199,                 1.2686,                0.67084,                0.53129,                 0.5849,                0.42846,                 1.0008,                  1.041,                 1.1717,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.1066,                 1.3145,                 1.2661,                0.67596,                0.52897,                0.58644,                0.42945,                 1.0007,                 1.0404,                 1.1712,               0.009307,               0.009307,               0.009307
                     72,                 1.1084,                 1.3163,                 1.2696,                0.66541,                0.53638,                0.58685,                0.43057,                0.99964,                 1.0389,                 1.1704,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.1085,                 1.3179,                 1.2667,                0.67558,                 0.5312,                0.58751,                0.43117,                0.99912,                 1.0384,                 1.1698,              0.0092872,              0.0092872,              0.0092872
                     74,                  1.105,                 1.3126,                 1.2656,                0.66279,                0.53968,                 0.5885,                0.43151,                0.99881,                 1.0376,                 1.1692,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.1075,                 1.3086,                 1.2621,                0.66552,                0.53944,                0.58897,                0.43211,                 0.9991,                 1.0367,                 1.1686,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.1068,                 1.3133,                 1.2637,                0.65958,                0.54286,                0.58918,                0.43266,                 0.9986,                 1.0357,                 1.1677,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.1069,                 1.3047,                  1.262,                0.66651,                0.53968,                 0.5894,                0.43282,                0.99857,                 1.0341,                 1.1672,              0.0092476,              0.0092476,              0.0092476
                     78,                  1.106,                 1.3082,                 1.2634,                0.66488,                0.53822,                0.58893,                0.43306,                0.99701,                  1.033,                 1.1664,              0.0092377,              0.0092377,              0.0092377
