                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.52331,                0.34016,                0.95115,                0.94793,                0.95096,                0.98464,                0.79441,                 0.7287,                0.40558,                 1.1894,             0.00065882,             0.00065882,             0.00065882
                     76,                0.54928,                0.35857,                 1.0034,                0.97009,                0.95231,                0.98747,                0.79571,                0.78991,                0.40116,                 1.2871,             0.00065271,             0.00065271,             0.00065271
                     77,                 0.5323,                0.36264,                0.98829,                0.98046,                0.96962,                0.98525,                0.78895,                0.79705,                0.45937,                 1.2586,              0.0006466,              0.0006466,              0.0006466
                     78,                0.51686,                0.35191,                0.95492,                0.92629,                0.94753,                 0.9788,                0.80979,                0.74674,                0.46686,                 1.2122,             0.00064049,             0.00064049,             0.00064049
                     79,                0.51965,                0.35013,                0.96059,                0.95257,                0.91131,                0.97444,                0.79282,                0.76953,                0.49315,                 1.2421,             0.00063438,             0.00063438,             0.00063438
                     80,                0.51298,                 0.3412,                0.95863,                0.95156,                0.94667,                0.98289,                 0.7939,                0.79415,                0.45078,                 1.2819,             0.00062827,             0.00062827,             0.00062827
                     81,                0.53503,                 0.3817,                0.97767,                0.78935,                0.83536,                0.89055,                 0.7279,                 0.7846,                0.86565,                 1.3012,             0.00062216,             0.00062216,             0.00062216
                     82,                0.53319,                0.36351,                0.96531,                 0.9074,                 0.9523,                0.97206,                0.78195,                0.77443,                0.50138,                 1.2455,             0.00061605,             0.00061605,             0.00061605
                     83,                0.53446,                0.35665,                0.97656,                0.96854,                0.95284,                0.98809,                0.80402,                0.77198,                 0.4367,                  1.238,             0.00060994,             0.00060994,             0.00060994
                     84,                0.54736,                0.35473,                 1.0044,                0.93144,                0.96092,                0.98563,                0.80863,                0.77067,                0.43495,                 1.2189,             0.00060383,             0.00060383,             0.00060383
                     85,                0.52508,                0.33762,                0.96936,                0.98159,                0.94951,                0.98486,                 0.7749,                0.84491,                0.40955,                 1.3048,             0.00059772,             0.00059772,             0.00059772
                     86,                 0.5002,                0.34152,                0.94784,                0.94035,                0.92867,                0.97784,                 0.7568,                0.86904,                0.44156,                  1.365,             0.00059161,             0.00059161,             0.00059161
                     87,                 0.5273,                 0.3438,                0.94855,                0.98923,                 0.9851,                  0.995,                0.78863,                 0.8327,                 0.3736,                 1.3086,              0.0005855,              0.0005855,              0.0005855
                     88,                0.52054,                0.33706,                0.96184,                0.96832,                0.93888,                0.99167,                0.79009,                0.80585,                0.42132,                 1.2705,             0.00057939,             0.00057939,             0.00057939
                     89,                 0.5175,                0.34948,                0.96818,                0.97036,                0.98142,                  0.995,                0.79467,                0.82855,                0.37582,                 1.2932,             0.00057328,             0.00057328,             0.00057328
                     90,                0.53377,                0.34807,                0.94774,                0.97408,                0.98827,                  0.995,                0.81567,                0.74986,                0.40146,                 1.2131,             0.00056717,             0.00056717,             0.00056717
                     91,                0.49307,                0.32778,                0.96598,                0.97615,                0.94058,                0.99325,                0.80133,                0.76758,                0.40389,                 1.2423,             0.00056105,             0.00056105,             0.00056105
                     92,                0.53003,                0.35118,                 0.9601,                0.94973,                 0.9673,                0.99313,                0.80708,                0.76648,                 0.3933,                 1.2428,             0.00055494,             0.00055494,             0.00055494
                     93,                0.46678,                0.30717,                 0.9668,                0.95273,                0.97809,                0.99407,                0.82543,                0.73184,                0.40876,                 1.2064,             0.00054883,             0.00054883,             0.00054883
                     94,                0.50748,                 0.3452,                0.96189,                0.92515,                0.98352,                0.98503,                0.79895,                0.77574,                0.44187,                 1.2447,             0.00054272,             0.00054272,             0.00054272
                     95,                0.51026,                0.34019,                 0.9514,                0.96697,                0.97954,                0.98737,                0.78714,                0.79595,                0.38259,                 1.2664,             0.00053661,             0.00053661,             0.00053661
                     96,                0.46498,                0.32731,                0.94397,                0.92833,                0.98571,                0.99325,                0.81228,                0.75137,                0.37218,                 1.2262,              0.0005305,              0.0005305,              0.0005305
                     97,                 0.5276,                0.32996,                 1.0094,                0.93371,                0.92745,                0.99325,                 0.8151,                 0.7377,                0.38344,                 1.2123,             0.00052439,             0.00052439,             0.00052439
                     98,                0.46729,                0.31544,                0.93321,                 0.9689,                0.96702,                 0.9861,                0.81187,                0.78206,                0.40448,                 1.2488,             0.00051828,             0.00051828,             0.00051828
                     99,                0.46878,                0.30538,                0.92598,                0.92779,                0.97473,                 0.9831,                0.81741,                0.75847,                0.39831,                 1.2268,             0.00051217,             0.00051217,             0.00051217
                    100,                0.47649,                0.31548,                0.93187,                0.88062,                0.97001,                 0.9905,                0.82011,                0.72473,                0.42766,                 1.2012,             0.00050606,             0.00050606,             0.00050606
                    101,                0.44783,                0.30002,                0.93265,                0.91111,                0.99888,                  0.995,                 0.8028,                0.78255,                0.42466,                 1.2616,             0.00049995,             0.00049995,             0.00049995
                    102,                0.46519,                0.31685,                0.95024,                0.97554,                0.97127,                0.99325,                0.79186,                0.80099,                0.39204,                 1.2703,             0.00049384,             0.00049384,             0.00049384
                    103,                0.50085,                0.32447,                0.97682,                0.97723,                0.97772,                0.99325,                0.78722,                0.81168,                0.38439,                 1.2771,             0.00048773,             0.00048773,             0.00048773
                    104,                0.49102,                0.32218,                0.95001,                0.87182,                0.96237,                0.98336,                0.77442,                0.81771,                0.49745,                 1.2895,             0.00048162,             0.00048162,             0.00048162
                    105,                 0.4839,                0.32152,                 0.9471,                0.99179,                0.95394,                0.99189,                0.80467,                0.78936,                0.37573,                 1.2676,             0.00047551,             0.00047551,             0.00047551
                    106,                0.46529,                0.30761,                0.94337,                0.98647,                0.98003,                0.99132,                 0.7844,                0.81606,                0.39312,                 1.2929,              0.0004694,              0.0004694,              0.0004694
                    107,                0.48495,                0.30115,                0.94306,                0.96072,                0.97545,                0.99103,                0.80663,                0.79276,                0.38493,                 1.2668,             0.00046329,             0.00046329,             0.00046329
                    108,                  0.464,                0.31729,                0.93814,                0.95055,                0.97579,                0.99407,                0.80985,                0.76984,                0.38264,                 1.2568,             0.00045718,             0.00045718,             0.00045718
                    109,                0.47811,                0.31099,                0.92465,                0.97257,                0.96099,                0.99407,                 0.8048,                0.77231,                0.38367,                  1.251,             0.00045107,             0.00045107,             0.00045107
                    110,                0.45664,                0.30572,                0.92005,                0.97556,                0.94661,                0.99325,                0.80361,                0.75847,                0.40915,                 1.2621,             0.00044496,             0.00044496,             0.00044496
                    111,                0.47742,                0.31426,                0.94676,                 0.9618,                0.98571,                0.99325,                0.80938,                0.77747,                0.37033,                 1.2587,             0.00043884,             0.00043884,             0.00043884
                    112,                0.46435,                0.39101,                0.93554,                0.90815,                0.92208,                0.97657,                0.80083,                0.75659,                0.52374,                 1.2324,             0.00043273,             0.00043273,             0.00043273
                    113,                0.47995,                0.33148,                0.95021,                0.90873,                0.89379,                0.97106,                0.80193,                0.73697,                 0.4974,                 1.2396,             0.00042662,             0.00042662,             0.00042662
                    114,                0.44702,                0.29763,                0.91565,                0.92977,                0.96571,                0.98361,                0.79814,                0.78566,                0.41848,                 1.3043,             0.00042051,             0.00042051,             0.00042051
                    115,                0.43622,                0.29234,                0.92436,                0.93461,                  0.941,                0.98547,                0.79926,                0.77613,                 0.4469,                 1.3031,              0.0004144,              0.0004144,              0.0004144
                    116,                0.48375,                0.30215,                0.96809,                0.94343,                0.98571,                0.98258,                0.79384,                0.75816,                0.40157,                 1.2534,             0.00040829,             0.00040829,             0.00040829
                    117,                0.44549,                0.29593,                0.93569,                0.95585,                0.92992,                0.98716,                0.80133,                0.76019,                0.42678,                 1.2477,             0.00040218,             0.00040218,             0.00040218
                    118,                0.46441,                0.30964,                0.91376,                0.97872,                0.97061,                0.99253,                0.80042,                0.79346,                0.37467,                 1.2763,             0.00039607,             0.00039607,             0.00039607
                    119,                0.44155,                0.30741,                0.93959,                0.98657,                 0.9689,                0.99132,                0.80521,                0.79301,                0.38217,                 1.2752,             0.00038996,             0.00038996,             0.00038996
                    120,                0.43341,                0.29264,                0.92952,                0.97812,                0.96753,                0.98301,                0.81697,                  0.764,                0.40438,                 1.2272,             0.00038385,             0.00038385,             0.00038385
