                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                  1.023,                0.72266,                 1.5097,                0.88842,                0.87651,                0.93315,                0.63753,                 1.0996,                0.71838,                 1.7116,             0.00069335,             0.00069335,             0.00069335
                    106,                 1.0097,                 0.6983,                 1.4582,                0.86246,                0.92066,                0.93254,                0.64531,                 1.0653,                0.66955,                 1.6634,             0.00068628,             0.00068628,             0.00068628
                    107,                0.99501,                0.69853,                 1.4743,                0.85955,                0.89867,                0.93521,                0.64166,                 1.1066,                 0.6994,                 1.7261,              0.0006792,              0.0006792,              0.0006792
                    108,                 0.9942,                0.67723,                 1.4623,                0.84383,                 0.9258,                0.92877,                0.65501,                  1.058,                0.70077,                 1.6597,             0.00067213,             0.00067213,             0.00067213
                    109,                 1.0014,                0.70296,                 1.4623,                0.85503,                0.92181,                0.93516,                0.63003,                 1.0487,                0.68846,                 1.6441,             0.00066506,             0.00066506,             0.00066506
                    110,                0.99528,                0.68455,                 1.4488,                0.85976,                0.93158,                 0.9384,                0.66697,                 1.0422,                0.69674,                 1.6487,             0.00065798,             0.00065798,             0.00065798
                    111,                0.98955,                0.70514,                  1.464,                0.87436,                0.92297,                0.93993,                0.66405,                  1.046,                 0.6897,                 1.6428,             0.00065091,             0.00065091,             0.00065091
                    112,                0.98587,                0.67419,                 1.4603,                0.87494,                0.92382,                0.93519,                0.66241,                 1.0749,                0.68783,                 1.6891,             0.00064384,             0.00064384,             0.00064384
                    113,                 1.0068,                0.69656,                 1.4869,                0.85861,                0.91345,                0.93475,                0.64711,                 1.0569,                0.69321,                 1.6495,             0.00063676,             0.00063676,             0.00063676
                    114,                  1.001,                0.68889,                 1.4575,                0.86506,                0.93962,                0.93624,                0.65553,                 1.0436,                0.67082,                 1.6502,             0.00062969,             0.00062969,             0.00062969
                    115,                0.98743,                0.69809,                 1.4617,                0.87187,                0.92255,                0.93729,                0.64953,                 1.0554,                0.68977,                 1.6581,             0.00062262,             0.00062262,             0.00062262
                    116,                0.96979,                0.69543,                 1.4759,                0.85302,                0.92301,                0.93789,                0.66412,                 1.0349,                 0.6946,                 1.6308,             0.00061554,             0.00061554,             0.00061554
                    117,                0.98344,                0.68876,                  1.466,                   0.83,                0.93656,                0.93208,                0.65593,                 1.0601,                0.69696,                 1.6494,             0.00060847,             0.00060847,             0.00060847
                    118,                0.97791,                 0.6798,                 1.4527,                0.84442,                  0.939,                0.93278,                0.66686,                 1.0486,                0.69795,                 1.6591,             0.00060139,             0.00060139,             0.00060139
                    119,                0.97531,                0.67684,                 1.4322,                0.87385,                0.89667,                0.92609,                0.63043,                 1.0695,                0.72785,                 1.6638,             0.00059432,             0.00059432,             0.00059432
                    120,                0.96481,                0.64833,                 1.4272,                0.86545,                0.92312,                0.93719,                 0.6616,                 1.0377,                0.65177,                 1.6449,             0.00058725,             0.00058725,             0.00058725
                    121,                0.99865,                0.70415,                 1.4795,                0.85339,                0.92869,                0.93469,                0.64542,                 1.0607,                0.70641,                 1.6679,             0.00058017,             0.00058017,             0.00058017
                    122,                0.96188,                 0.6607,                 1.4253,                 0.8769,                0.90133,                0.93876,                0.66771,                 1.0524,                0.67926,                 1.6637,              0.0005731,              0.0005731,              0.0005731
                    123,                0.97032,                 0.7005,                 1.4699,                0.85802,                0.91423,                0.93675,                0.65159,                 1.0381,                0.66739,                 1.6373,             0.00056603,             0.00056603,             0.00056603
                    124,                0.98235,                0.66816,                 1.4632,                0.88904,                 0.9158,                0.94375,                0.67629,                  1.015,                0.66812,                 1.6206,             0.00055895,             0.00055895,             0.00055895
                    125,                0.93632,                0.66014,                 1.4074,                0.86806,                0.89386,                0.93117,                 0.6504,                 1.0369,                0.68867,                 1.6406,             0.00055188,             0.00055188,             0.00055188
                    126,                 0.9557,                 0.6552,                 1.4161,                0.85372,                0.94022,                0.93198,                0.65766,                 1.0515,                0.67223,                 1.6541,             0.00054481,             0.00054481,             0.00054481
                    127,                0.94391,                0.64601,                  1.415,                0.86002,                0.93416,                0.93347,                0.65566,                 1.0364,                0.65878,                 1.6527,             0.00053773,             0.00053773,             0.00053773
                    128,                0.96597,                0.67796,                 1.4506,                0.85281,                0.94097,                  0.932,                0.66032,                 1.0465,                0.65912,                 1.6468,             0.00053066,             0.00053066,             0.00053066
                    129,                0.97321,                0.67516,                  1.443,                0.84627,                0.93737,                0.92439,                0.65615,                 1.0537,                0.70584,                  1.651,             0.00052359,             0.00052359,             0.00052359
                    130,                0.95161,                 0.6566,                  1.436,                0.84369,                0.92427,                 0.9283,                 0.6529,                 1.0658,                0.67309,                 1.6983,             0.00051651,             0.00051651,             0.00051651
                    131,                0.95382,                0.63275,                 1.4265,                0.86303,                0.91874,                0.93332,                0.66046,                 1.0374,                0.67075,                 1.6355,             0.00050944,             0.00050944,             0.00050944
                    132,                0.93112,                0.64058,                 1.4062,                0.85516,                0.90687,                0.93049,                0.65053,                 1.0628,                0.72843,                 1.6659,             0.00050236,             0.00050236,             0.00050236
                    133,                0.94693,                0.63852,                 1.4189,                0.86424,                0.91498,                0.93814,                0.66491,                 1.0362,                0.67016,                 1.6479,             0.00049529,             0.00049529,             0.00049529
                    134,                0.93352,                0.64145,                 1.4185,                0.86802,                0.90317,                0.93283,                0.65653,                 1.0702,                0.69073,                 1.6772,             0.00048822,             0.00048822,             0.00048822
                    135,                 0.9597,                0.65935,                 1.4622,                0.86182,                0.91245,                 0.9245,                0.64866,                 1.0566,                0.70531,                 1.6672,             0.00048114,             0.00048114,             0.00048114
                    136,                 0.9374,                0.64773,                 1.4241,                0.83037,                0.94438,                0.93881,                0.67188,                 1.0724,                0.66528,                 1.6908,             0.00047407,             0.00047407,             0.00047407
                    137,                0.92748,                0.64012,                 1.4218,                0.84122,                0.93401,                0.92674,                 0.6482,                 1.0487,                0.68241,                 1.6606,               0.000467,               0.000467,               0.000467
                    138,                0.92552,                0.62935,                  1.406,                0.88705,                0.88043,                0.93759,                0.65337,                 1.0572,                0.66848,                 1.6648,             0.00045992,             0.00045992,             0.00045992
                    139,                0.92732,                0.64054,                  1.445,                0.85635,                0.90251,                0.93116,                0.66444,                 1.0553,                0.68213,                 1.6703,             0.00045285,             0.00045285,             0.00045285
                    140,                0.93077,                0.61611,                 1.3943,                0.85435,                0.90875,                0.93163,                0.66586,                 1.0585,                0.69044,                  1.658,             0.00044578,             0.00044578,             0.00044578
                    141,                0.92524,                0.62395,                 1.3728,                0.85815,                0.91921,                0.92913,                0.65728,                  1.052,                 0.6796,                 1.6603,              0.0004387,              0.0004387,              0.0004387
                    142,                0.92277,                0.62362,                 1.4078,                0.87465,                0.90883,                 0.9344,                0.65292,                 1.0454,                0.66268,                 1.6538,             0.00043163,             0.00043163,             0.00043163
                    143,                  0.914,                0.62214,                 1.4151,                0.82869,                0.93548,                0.93419,                0.65104,                 1.0617,                0.70573,                 1.6758,             0.00042456,             0.00042456,             0.00042456
                    144,                0.92609,                0.61435,                 1.4149,                0.82644,                0.94024,                0.93009,                0.64951,                 1.0903,                0.67584,                 1.6977,             0.00041748,             0.00041748,             0.00041748
                    145,                0.92139,                0.65288,                  1.418,                0.84313,                0.91293,                0.92748,                0.65298,                 1.0644,                0.70676,                 1.6709,             0.00041041,             0.00041041,             0.00041041
                    146,                0.90936,                0.62053,                 1.4064,                0.87765,                0.90797,                0.93943,                0.66467,                 1.0637,                0.66954,                 1.6825,             0.00040334,             0.00040334,             0.00040334
                    147,                0.89886,                0.60599,                 1.3734,                0.86543,                0.90562,                0.93856,                0.65624,                 1.0907,                0.68165,                  1.702,             0.00039626,             0.00039626,             0.00039626
                    148,                0.91531,                0.61009,                  1.363,                0.86097,                0.92675,                0.93002,                0.65473,                 1.0581,                 0.6705,                 1.6804,             0.00038919,             0.00038919,             0.00038919
                    149,                0.90443,                0.61041,                 1.3887,                0.85237,                0.91123,                0.93197,                0.65766,                 1.0714,                0.69924,                 1.6811,             0.00038211,             0.00038211,             0.00038211
                    150,                0.89447,                0.58643,                  1.366,                0.83929,                0.94961,                0.93298,                0.65566,                 1.0745,                0.65363,                 1.7005,             0.00037504,             0.00037504,             0.00037504
                    151,                0.90045,                0.59409,                 1.3859,                0.84486,                0.92579,                0.93463,                0.65537,                 1.0609,                0.68208,                 1.6714,             0.00036797,             0.00036797,             0.00036797
